[Name],,
BLD GEO HIGH,,
,,
[Data],,
Radius [ m ], theta [ degree ], X [ m ]
0.192672387,3.589379311,0.036583573
0.192515016,3.331331491,0.035280265
0.192349941,3.056343555,0.03393719
0.192171648,2.7671597,0.032575749
0.191969544,2.462973833,0.031202402
0.195062548,3.83107996,0.037282135
0.194934189,3.577386379,0.036030572
0.19479607,3.303085089,0.03471655
0.19465071,3.012666702,0.033367898
0.194493443,2.709272385,0.032007687
0.194314435,2.392539978,0.030643098
0.197309285,3.825407028,0.036756083
0.197198927,3.554749012,0.035493385
0.197079808,3.264204741,0.034170713
0.196953699,2.958650827,0.032817829
0.196816981,2.641554832,0.031459816
0.196660578,2.312784433,0.030105306
0.199564815,3.816975594,0.036230311
0.199472144,3.531424999,0.034954753
0.199371949,3.226150751,0.033623312
0.199265316,2.906796694,0.032266535
0.199149698,2.577310085,0.030911218
0.199016854,2.238124132,0.029566519
0.201834083,3.805544376,0.035704002
0.201760039,3.506058931,0.034415137
0.201679841,3.186999083,0.033074804
0.201593727,2.85460639,0.031714834
0.201499864,2.513414383,0.030363351
0.201390654,2.164466143,0.029029747
0.204105586,3.78602767,0.035190526
0.204050168,3.472568274,0.033890363
0.203989804,3.139994621,0.032542378
0.203923985,2.794825792,0.031180639
0.20385164,2.442309141,0.029834157
0.203765675,2.084412575,0.028511442
0.206398353,3.758811951,0.034684964
0.206361949,3.431255579,0.033375591
0.206321776,3.085180998,0.032021575
0.206276581,2.727339029,0.030659579
0.206225991,2.363779545,0.029319163
0.206163496,1.997427821,0.028007444
0.20869875,3.724801302,0.034189172
0.208681986,3.383234978,0.032872565
0.208662584,3.023750544,0.03151447
0.208638564,2.653362274,0.030154046
0.208610192,2.279123783,0.028820666
0.208571509,1.905231118,0.027518341
0.211004406,3.688210011,0.03369391
0.211006552,3.333643198,0.032369774
0.211007372,2.961539984,0.031008093
0.211004123,2.579603672,0.029649269
0.210997701,2.19620657,0.028320603
0.210983098,1.815545559,0.02702751
0.213340655,3.650984049,0.033187434
0.213363037,3.284015179,0.031855579
0.213385582,2.899526834,0.030491773
0.213404164,2.506650209,0.029134547
0.213420436,2.114518642,0.027810814
0.213430464,1.72719121,0.026528789
0.215678245,3.608663082,0.032693096
0.215720981,3.2292943,0.031356197
0.215765193,2.832780123,0.029991813
0.215805516,2.429407358,0.028637007
0.215844557,2.028764963,0.027319631
0.215879112,1.635229468,0.026048459
0.218039379,3.56149745,0.032206178
0.218102947,3.169735193,0.030866763
0.218169123,2.761470795,0.029503215
0.218231484,2.347956181,0.028151561
0.218293548,1.939308047,0.026840191
0.218353108,1.539544225,0.02558171
0.220417798,3.510299683,0.031728122
0.220503643,3.106237888,0.030388089
0.220593244,2.686528444,0.02902621
0.220679164,2.26312542,0.027678436
